STATE,TOTAL VOTES,Biden Vote,EV_Democrats,Trump Vote,EV_Republican,Others Votes,EV_Binary
Alabama,"2,323,282","849,624",,"1,441,170",9,"32,488",Republican
Alaska,"359,530","153,778",,"189,951",3,"15,801",Republican
Arizona,"3,387,326","1,672,143",11,"1,661,686",,"53,497",Democrats
Arkansas,"1,219,069","423,932",,"760,647",6,"34,490",Republican
California,"17,500,881","11,110,250",55,"6,006,429",,"384,202",Democrats
Colorado,"3,256,952","1,804,352",9,"1,364,607",,"87,993",Democrats
Connecticut,"1,824,280","1,080,680",7,"715,291",,"28,309",Democrats
Delaware,"504,010","296,268",3,"200,603",,"7,139",Democrats
District of Columbia,"344,356","317,323",3,"18,586",,"8,447",Democrats
Florida,"11,067,456","5,297,045",,"5,668,731",29,"101,680",Republican
Georgia,"4,997,716","2,473,633",16,"2,461,854",,"62,229",Democrats
Hawaii,"574,469","366,130",4,"196,864",,"11,475",Democrats
Idaho,"868,014","287,021",,"554,119",4,"26,874",Republican
Illinois,"6,033,744","3,471,915",20,"2,446,891",,"114,938",Democrats
Indiana,"3,033,121","1,242,416",,"1,729,519",11,"61,186",Republican
Iowa,"1,690,871","759,061",,"897,672",6,"34,138",Republican
Kansas,"1,372,303","570,323",,"771,406",6,"30,574",Republican
Kentucky,"2,136,768","772,474",,"1,326,646",8,"37,648",Republican
Louisiana,"2,148,062","856,034",,"1,255,776",8,"36,252",Republican
Maine,"819,461","435,072",2,"360,737",,"23,652",Democrats
Maryland,"3,037,030","1,985,023",10,"976,414",,"75,593",Democrats
Massachusetts,"3,631,403","2,382,202",11,"1,167,202",,"81,999",Democrats
Michigan,"5,539,301","2,804,040",16,"2,649,852",,"85,409",Democrats
Minnesota,"3,277,171","1,717,077",10,"1,484,065",,"76,029",Democrats
Mississippi,"1,313,759","539,398",,"756,764",6,"17,597",Republican
Missouri,"3,025,962","1,253,014",,"1,718,736",10,"54,212",Republican
Montana,"603,640","244,786",,"343,602",3,"15,252",Republican
Nebraska,"951,712","374,583",,"556,846",2,"20,283",Republican
Nevada,"1,405,376","703,486",6,"669,890",,"32,000",Democrats
New Hampshire,"806,205","424,937",4,"365,660",,"15,608",Democrats
New Jersey,"4,549,353","2,608,335",14,"1,883,274",,"57,744",Democrats
New Mexico,"923,965","501,614",5,"401,894",,"20,457",Democrats
New York,"8,594,826","5,230,985",29,"3,244,798",,"119,043",Democrats
North Carolina,"5,524,804","2,684,292",,"2,758,775",15,"81,737",Republican
North Dakota,"361,819","114,902",,"235,595",3,"11,322",Republican
Ohio,"5,922,202","2,679,165",,"3,154,834",18,"88,203",Republican
Oklahoma,"1,560,699","503,890",,"1,020,280",7,"36,529",Republican
Oregon,"2,374,321","1,340,383",7,"958,448",,"75,490",Democrats
Pennsylvania,"6,915,283","3,458,229",20,"3,377,674",,"79,380",Democrats
Rhode Island,"517,757","307,486",4,"199,922",,"10,349",Democrats
South Carolina,"2,513,329","1,091,541",,"1,385,103",9,"36,685",Republican
South Dakota,"422,609","150,471",,"261,043",3,"11,095",Republican
Tennessee,"3,053,851","1,143,711",,"1,852,475",11,"57,665",Republican
Texas,"11,315,056","5,259,126",,"5,890,347",38,"165,583",Republican
Utah,"1,488,289","560,282",,"865,140",6,"62,867",Republican
Vermont,"367,428","242,820",3,"112,704",,"11,904",Democrats
Virginia,"4,460,524","2,413,568",13,"1,962,430",,"84,526",Democrats
Washington,"4,087,631","2,369,612",12,"1,584,651",,"133,368",Democrats
West Virginia,"794,652","235,984",,"545,382",5,"13,286",Republican
Wisconsin,"3,298,041","1,630,866",10,"1,610,184",,"56,991",Democrats
Wyoming,"276,765","73,491",,"193,559",3,"9,715",Republican
Totals,"158,376,434","81,268,773",306,"74,216,728",232,"2,890,933",0
